jobClassification,nation,state,city,R,Python,Matlab,SQL,Stata,Minitab,SPSS,Ruby,C,Scala,Tableau,Java,Hadoop,SAS,Julia,Knime,D3,Clojure,Haskell,Lisp,Golang,Spark,Javascript,F#,Fortran,longitude,latitude
Science & Technology,Australia,New South Wales,Sydney,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Australian Capital Territory,ACT,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Information & Communication Technology,Australia,New South Wales,Sydney,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Banking & Financial Services,Australia,New South Wales,Sydney,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Banking & Financial Services,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Banking & Financial Services,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Victoria,Melbourne,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Science & Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Education & Training,Australia,Australian Capital Territory,ACT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Information & Communication Technology,Australia,Australian Capital Territory,ACT,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Government & Defence,Australia,Australian Capital Territory,ACT,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Education & Training,Australia,New South Wales,Sydney,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Western Australia,Perth,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.861309,31.9523123
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Victoria,Melbourne,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,Victoria,Melbourne,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Marketing & Communications,Australia,New South Wales,Sydney,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Government & Defence,Australia,Australian Capital Territory,ACT,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
"Mining, Resources & Energy",Australia,Queensland,Brisbane,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,153.0260341,27.4704528
Information & Communication Technology,Australia,New South Wales,Sydney,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,Victoria,Melbourne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Government & Defence,Australia,Australian Capital Territory,ACT,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Information & Communication Technology,Australia,Victoria,Melbourne,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Banking & Financial Services,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Australian Capital Territory,ACT,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.0123679,35.4734679
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,New South Wales,Sydney,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Science & Technology,Australia,New South Wales,Sydney,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
Information & Communication Technology,Australia,Victoria,Melbourne,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,144.9630576,37.8136276
Information & Communication Technology,Australia,New South Wales,Sydney,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.2092955,33.8688197
