jobSubClassification,language,position
Actuarial ,R,10
,Python,11
,Matlab,0
,SQL,10
,C,0
,Scala,0
,Tableau,3
,Java,0
,Hadoop,0
,SAS,3
,Spark,0
Analysis & Reporting ,R,43
,Python,40
,Matlab,0
,SQL,25
,C,6
,Scala,2
,Tableau,11
,Java,3
,Hadoop,11
,SAS,16
,Spark,7
Analysts ,R,31
,Python,32
,Matlab,7
,SQL,29
,C,1
,Scala,5
,Tableau,11
,Java,2
,Hadoop,6
,SAS,7
,Spark,11
Architects ,R,6
,Python,10
,Matlab,0
,SQL,5
,C,0
,Scala,2
,Tableau,1
,Java,2
,Hadoop,1
,SAS,1
,Spark,2
Biological & Biomedical Sciences ,R,6
,Python,3
,Matlab,2
,SQL,0
,C,1
,Scala,0
,Tableau,0
,Java,2
,Hadoop,0
,SAS,0
,Spark,0
Business/Systems Analysts ,R,74
,Python,81
,Matlab,6
,SQL,68
,C,10
,Scala,18
,Tableau,22
,Java,10
,Hadoop,20
,SAS,17
,Spark,2
Compliance & Risk ,R,13
,Python,13
,Matlab,0
,SQL,7
,C,1
,Scala,1
,Tableau,1
,Java,0
,Hadoop,1
,SAS,10
,Spark,2
Consultants ,R,106
,Python,120
,Matlab,7
,SQL,88
,C,14
,Scala,41
,Tableau,25
,Java,24
,Hadoop,47
,SAS,32
,Spark,9
Database Development & Administration ,R,88
,Python,99
,Matlab,4
,SQL,90
,C,13
,Scala,20
,Tableau,32
,Java,19
,Hadoop,36
,SAS,35
,Spark,7
Developers/Programmers ,R,106
,Python,113
,Matlab,9
,SQL,80
,C,18
,Scala,19
,Tableau,21
,Java,18
,Hadoop,26
,SAS,15
,Spark,13
Digital & Search Marketing ,R,6
,Python,5
,Matlab,4
,SQL,3
,C,0
,Scala,4
,Tableau,4
,Java,0
,Hadoop,2
,SAS,5
,Spark,0
Engineering - Software,R,56
,Python,74
,Matlab,2
,SQL,50
,C,19
,Scala,28
,Tableau,25
,Java,23
,Hadoop,26
,SAS,15
,Spark,17
"Environmental, Earth & Geosciences ",R,2
,Python,3
,Matlab,0
,SQL,0
,C,6
,Scala,0
,Tableau,0
,Java,0
,Hadoop,0
,SAS,0
,Spark,0
Government - Federal ,R,12
,Python,21
,Matlab,4
,SQL,11
,C,8
,Scala,7
,Tableau,1
,Java,5
,Hadoop,1
,SAS,2
,Spark,1
Government - State ,R,16
,Python,18
,Matlab,4
,SQL,11
,C,3
,Scala,0
,Tableau,3
,Java,3
,Hadoop,2
,SAS,3
,Spark,1
Market Research & Analysis ,R,10
,Python,5
,Matlab,3
,SQL,9
,C,0
,Scala,3
,Tableau,3
,Java,1
,Hadoop,0
,SAS,6
,Spark,1
"Mathematics, Statistics & Information Sciences ",R,256
,Python,296
,Matlab,20
,SQL,195
,C,33
,Scala,75
,Tableau,91
,Java,32
,Hadoop,78
,SAS,46
,Spark,38
Modelling & Simulation ,R,6
,Python,3
,Matlab,1
,SQL,6
,C,0
,Scala,1
,Tableau,3
,Java,1
,Hadoop,1
,SAS,4
,Spark,0
Stockbroking & Trading,R,1
,Python,11
,Matlab,0
,SQL,7
,C,8
,Scala,0
,Tableau,0
,Java,0
,Hadoop,0
,SAS,0
,Spark,0
