city,Number of Positions,Program Language,longitude,latitude
ACT,70,R,149.0123679,-35.4734679
Adelaide,49,R,138.6007456,-34.9284989
Brisbane,94,R,153.0260341,-27.4704528
Melbourne,284,R,144.9630576,-37.8136276
"Newcastle, Maitland & Hunter",4,R,151.7851862,-32.9187028
Northern QLD,1,R,144.7851531,-20.7722295
Perth,79,R,115.861309,-31.9523123
South West Coast VIC,5,R,142.4834794,-38.3841804
Sunshine Coast,2,R,153.066667,-26.65
Sydney,553,R,151.2092955,-33.8688197
ACT,85,Python,149.0123679,-35.4734679
Adelaide,45,Python,138.6007456,-34.9284989
Brisbane,106,Python,153.0260341,-27.4704528
Melbourne,320,Python,144.9630576,-37.8136276
"Newcastle, Maitland & Hunter",3,Python,151.7851862,-32.9187028
Northern QLD,1,Python,144.7851531,-20.7722295
Perth,102,Python,115.861309,-31.9523123
South West Coast VIC,5,Python,142.4834794,-38.3841804
Sunshine Coast,3,Python,153.066667,-26.65
Sydney,614,Python,151.2092955,-33.8688197
ACT,60,SQL,149.0123679,-35.4734679
Adelaide,32,SQL,138.6007456,-34.9284989
Brisbane,67,SQL,153.0260341,-27.4704528
Melbourne,232,SQL,144.9630576,-37.8136276
"Newcastle, Maitland & Hunter",4,SQL,151.7851862,-32.9187028
Northern QLD,1,SQL,144.7851531,-20.7722295
Perth,57,SQL,115.861309,-31.9523123
South West Coast VIC,5,SQL,142.4834794,-38.3841804
Sunshine Coast,3,SQL,153.066667,-26.65
Sydney,477,SQL,151.2092955,-33.8688197
ACT,34,Scala,149.0123679,-35.4734679
Adelaide,29,Scala,138.6007456,-34.9284989
Brisbane,22,Scala,153.0260341,-27.4704528
Melbourne,85,Scala,144.9630576,-37.8136276
"Newcastle, Maitland & Hunter",0,Scala,151.7851862,-32.9187028
Northern QLD,0,Scala,144.7851531,-20.7722295
Perth,2,Scala,115.861309,-31.9523123
South West Coast VIC,0,Scala,142.4834794,-38.3841804
Sunshine Coast,0,Scala,153.066667,-26.65
Sydney,140,Scala,151.2092955,-33.8688197
ACT,7,Tableau,149.0123679,-35.4734679
Adelaide,10,Tableau,138.6007456,-34.9284989
